ID2,municipality,urban,pi_lowincome_1981_1984,pi_lowincome_1985_1989,pi_lowincome_1990_1994,pi_lowincome_1995_1999,pi_lowincome_2000_2004,pi_lowincome_2005_2009,pi_lowincome_2010_2014,pi_basiceducation_1981_1984,pi_basiceducation_1985_1989,pi_basiceducation_1990_1994,pi_basiceducation_1995_1999,pi_basiceducation_2000_2004,pi_basiceducation_2005_2009,pi_basiceducation_2010_2014,pi_notemployed_1981_1984,pi_notemployed_1985_1989,pi_notemployed_1990_1994,pi_notemployed_1995_1999,pi_notemployed_2000_2004,pi_notemployed_2005_2009,pi_notemployed_2010_2014,pi_manuallabour_1991_1994,pi_manuallabour_1995_1999,pi_manuallabour_2000_2004,pi_manuallabour_2005_2009,pi_manuallabour_2010_2014,ph_overcrowded_1981_1984,ph_overcrowded_1985_1989,ph_overcrowded_1990_1994,ph_overcrowded_1995_1999,ph_overcrowded_2000_2004,ph_overcrowded_2005_2009,ph_overcrowded_2010_2014,ph_nocarowned_2003_2009,ph_nocarowned_2010_2014,ph_oneadult_1981_1984,ph_oneadult_1985_1989,ph_oneadult_1990_1994,ph_oneadult_1995_1999,ph_oneadult_2000_2004,ph_oneadult_2005_2009,ph_oneadult_2010_2014,ph_rentedaccommodation_2000_2009,ph_rentedaccommodation_2010_2014,pi_residentialtransience_1981_19,pi_residentialtransience_1985_19,pi_residentialtransience_1990_19,pi_residentialtransience_1995_19,pi_residentialtransience_2000_20,pi_residentialtransience_2005_20,pi_residentialtransience_2010_20,pi_anycrime_1991_1994,pi_anycrime_1995_1999,pi_anycrime_2000_2004,pi_anycrime_2005_2009,pi_anycrime_2010_2014,pi_foreignborn_1981_1984,pi_foreignborn_1985_1989,pi_foreignborn_1990_1994,pi_foreignborn_1995_1999,pi_foreignborn_2000_2004,pi_foreignborn_2005_2009,pi_foreignborn_2010_2014,pi_anycharlson_1987_1989,pi_anycharlson_1990_1994,pi_anycharlson_1995_1999,pi_anycharlson_2000_2004,pi_anycharlson_2005_2009,pi_anycharlson_2010_2014,population_density_1981_1984,population_density_1985_1989,population_density_1990_1994,population_density_1995_1999,population_density_2000_2004,population_density_2005_2009,population_density_2010_2014,pi_age_grp1_1981_1984,pi_age_grp1_1985_1989,pi_age_grp1_1990_1994,pi_age_grp1_1995_1999,pi_age_grp1_2000_2004,pi_age_grp1_2005_2009,pi_age_grp1_2010_2014,pi_age_grp2_1981_1984,pi_age_grp2_1985_1989,pi_age_grp2_1990_1994,pi_age_grp2_1995_1999,pi_age_grp2_2000_2004,pi_age_grp2_2005_2009,pi_age_grp2_2010_2014,pi_age_grp3_1981_1984,pi_age_grp3_1985_1989,pi_age_grp3_1990_1994,pi_age_grp3_1995_1999,pi_age_grp3_2000_2004,pi_age_grp3_2005_2009,pi_age_grp3_2010_2014,pi_age_grp4_1981_1984,pi_age_grp4_1985_1989,pi_age_grp4_1990_1994,pi_age_grp4_1995_1999,pi_age_grp4_2000_2004,pi_age_grp4_2005_2009,pi_age_grp4_2010_2014,pi_age_grp5_1981_1984,pi_age_grp5_1985_1989,pi_age_grp5_1990_1994,pi_age_grp5_1995_1999,pi_age_grp5_2000_2004,pi_age_grp5_2005_2009,pi_age_grp5_2010_2014
1010002,101,1,20.354457573,21.772062709,23.311897106,22.067216233,24.990730441,24.308490204,24.375522333,15.112736137,15.254491018,13.748191027,13.401806707,12.030334367,11.318285901,9.7332372026,47.757029405,50.088074687,50.397200681,46.933599058,44.447534297,40.895121014,43.552130721,3.7006482027,4.1217501585,2.567667779,2.1321552055,2.0889425309,2.8874172185,2.4385245902,2.5999779663,2.8268936913,4.1080083083,4.3591010126,4.0917107584,61.581041342,59.848571756,65.01983873,68.331464682,69.402329158,68.190725016,66.701137539,64.476915521,65.584490077,61.726123345,60.766318688,12.678328804,11.226683309,13.070396698,12.811466373,14.140136864,14.509922282,16.705632306,10.642031379,13.099586073,14.358206472,15.260631001,15.526104418,8.0256431064,8.735997879,9.4630823853,11.736958935,15.131075725,17.160180485,19.132280748,17.684648536,18.063173823,16.323942386,14.497589915,13.244333461,14.706155417,3666.9527758,3594.8925859,3281.4552203,3428.0917053,3419.3254375,3372.1766075,3585.7203741,12.927046985,12.732816332,12.361423085,14.532463929,16.410541687,17.766497462,17.407456548,18.988882577,19.274872407,19.715962611,17.321032186,15.624782699,14.784263959,17.268143824,23.849711921,25.134221515,25.650315195,26.89372919,28.669772617,30.633107727,29.773119278,13.868376207,12.202558494,11.484675024,14.317425083,16.994645713,17.604342922,15.118747512,30.36598231,30.655531252,30.787624085,26.935349612,22.300257284,19.21178793,20.432532838
1010003,101,1,24.864216689,26.247822692,30.13821576,29.60653753,30.364135835,30.161932283,27.193977051,37.24193766,36.876745114,34.435748548,31.031135668,27.603821149,24.335208765,20.149108274,58.965687311,59.225690276,59.124349542,52.19600726,44.68980021,39.403684727,35.756064384,12.214935162,13.418027828,8.6283444328,6.012209746,4.5341192473,4.9565074676,4.6120633259,4.0816326531,4.1060953838,5.1008077339,4.7316896302,5.8134155744,71.997740702,67.286188409,66.223985748,69.574856547,71.986657258,72.576757168,70.808591282,71.081162025,67.000255297,76.147578786,73.505233597,7.7597840756,9.466324866,12.125082789,13.300075301,13.044477118,15.15714039,17.248817144,16.415643589,17.339990921,16.830902641,18.131561832,17.345457324,6.0579882296,7.898844833,9.1015379081,10.991861193,12.93334486,14.964838256,16.001008732,15.892839158,15.25210838,13.799153055,12.89870312,12.378720157,11.031512129,5551.8520692,5376.4182217,5332.7301457,5362.7237062,5547.4761639,6006.2531294,7629.4452969,11.01992333,11.301904465,11.228527745,11.336195331,12.267657993,13.49809122,17.492040475,19.491388154,23.027518844,25.712743952,28.119130668,28.953056108,26.112115732,26.482362954,19.626370066,20.610142277,23.167551039,26.612109829,29.342093888,34.313843681,34.826466602,18.735489444,15.101913385,13.288065474,13.071281638,12.838246736,12.413100261,10.708318885,31.126829005,29.958521029,26.603111791,20.861282533,16.598945275,13.662849106,10.490811083
1010004,101,1,24.634493466,24.443969204,25.483800826,28.802343241,30.358327804,32.585828228,33.120219203,39.474145486,37.620357634,37.187458659,34.05842138,32.100267705,31.159509962,28.143860081,42.398757925,46.428571429,56.283974777,57.181601215,54.04777704,49.624320888,49.275031396,13.623346516,13.614666956,9.0356115904,7.1552421685,7.0555999543,4.2918454936,4.5257654966,4.8260547742,4.5576786978,5.3869710468,5.2876480541,7.2408963585,65.507731705,61.841199945,46.716526815,49.680677261,54.337899543,58.485273492,62.360862993,66.338555386,65.804320903,69.751552795,68.584009908,5.5801048196,7.3960880196,7.0238957277,9.389219461,10.078999913,11.538121742,13.107769424,15.992102665,16.916384727,16.983708906,19.847863077,22.56203116,4.4151205477,6.5610859729,7.6863620749,11.023947151,14.319711144,18.604459125,22.039119051,12.649633732,14.437921287,14.113690605,14.266755143,14.587908912,13.871446512,2461.672705,2329.9450937,2273.5380262,2364.5153832,2379.2030737,2365.105921,2535.7243466,11.132056752,11.689291101,12.512882171,14.574731627,15.8788774,17.49793559,19.929154474,17.640638952,16.054968996,14.513912745,14.929810074,16.65025439,17.687861272,21.053442168,22.958626848,23.881347411,25.583991755,26.837324525,27.777777778,28.786127168,28.69243801,35.112610378,28.51516675,21.264170388,17.704376548,16.46971935,16.977704377,16.19436316,13.15606707,19.859225742,26.125042941,25.953757225,23.223371082,19.050371594,14.130602187
1010005,101,1,21.813089928,23.929449674,25.434575802,28.575154308,29.440818487,32.763014197,33.919620086,39.517296862,40.995736142,40.905359446,39.70033416,35.936712688,34.989093793,32.327586207,47.521261149,54.846095141,61.143301911,60.166912979,55.556535544,53.066424022,51.230661041,12.950961331,15.030861514,9.534309402,6.169244768,6.6631504923,3.9433062026,4.0163230241,4.666809056,5.134372059,5.5044913307,5.1916596462,6.0351799434,68.182155307,65.722861431,51.209842789,56.10956559,61.524558792,63.487936772,65.660024907,69.337506521,70.615307654,69.137922064,70.805402701,6.2366999509,6.4242755604,8.2522903453,10.600362167,11.382963892,11.6936899,14.270514696,14.635303045,15.974947178,17.3492867,20.732853116,22.674418605,4.7100007956,5.9772546945,8.1916329285,11.249256002,13.991202154,17.661034847,22.854846686,15.877516303,17.279252789,18.325654177,18.74228259,17.688808007,17.141350211,4061.4226073,3909.9815855,3831.0664391,3910.3770529,3937.7841854,3917.1248846,4184.8617769,9.6745962288,9.9246231156,11.052631579,12.360293631,14.398266693,15.70749736,17.06231454,19.428753282,18.427664639,17.928475034,18.265987699,19.755761276,19.667370644,21.130069238,19.922030392,19.069029357,21.261808367,24.819787051,25.927384939,28.200897571,29.080118694,30.670697748,24.636339593,19.372469636,16.599431255,15.350272471,15.859292503,15.795004946,20.303922349,27.942343295,30.384615385,27.954500364,24.568314621,20.564941922,16.932492582
1010006,101,1,24.005090236,25.62412993,26.688132475,29.117486835,33.315163078,33.883907504,36.465387509,40.529735132,39.910033737,39.017039527,35.848041326,32.95687885,32.599795292,29.714285714,42.371312898,43.675174014,47.746090156,46.64971854,45.357921512,44.02302104,44.590657017,13.211662075,14.209188306,9.7747093023,6.6327011982,6.8521477582,7.9178449174,5.8283252069,6.4946820548,7.0196907331,7.7753303965,7.2577884286,7.7260147601,62.876602564,60.186342461,56.331309627,59.282652831,60.153084196,61.438053097,61.434044882,63.269687041,62.901942961,66.290448126,66.731053289,7.5762363723,8.6312867623,9.5283338989,11.096318978,11.755465375,12.353866138,14.61356733,17.277638433,18.156955101,18.456350693,20.565271705,21.304916519,5.1291707464,7.8002244669,10.495794035,12.906440762,16.439533456,20.188217094,23.885793872,14.312412397,13.845446182,13.691665153,14.643895349,14.274931597,12.059404079,4800.7872713,4639.1438652,4538.0095416,4642.7750965,4711.0518132,4487.6033285,4572.6139261,17.240340438,17.009602195,17.435635993,18.007973091,18.078575813,17.442310171,17.719675867,24.335316713,23.481730889,22.227886821,21.627008845,23.517495396,23.591594689,24.044061788,27.679445658,28.775408405,28.44761662,29.039491715,28.83364027,29.257444888,30.260825525,14.679520976,14.30976431,15.135100688,16.668742992,16.543891958,16.456104164,16.307926057,16.065376215,16.423494201,16.753759878,14.656783356,13.026396562,13.252546087,11.667510762
1010007,101,1,25.524198119,27.429046871,27.65258216,29.645933014,28.533955115,28.175383405,27.68134845,46.772875817,45.890198511,43.8968404,40.11074997,32.243354466,27.647309991,21.742344245,57.11211778,61.397670549,62.403755869,56.516746411,46.954240746,40.691959898,35.778067623,15.393682225,15.827751196,9.6084717769,6.0939650088,5.2473161433,4.7819971871,4.4415336985,4.5977011494,4.6363636364,5.5926638741,5.3150057274,5.4934713563,62.864097363,56.252193239,51.288381423,58.630917072,64.759174312,66.53833088,65.304740406,66.495843298,63.293952509,72.09341874,65.914142005,4.8960612691,5.3315311256,6.6361040132,7.83540442,9.5768209968,10.759021772,13.525433696,14.398422091,16.578249337,15.120984392,17.649505115,20.077156694,3.6929824561,4.0194090382,5.0859547757,6.8083904231,7.7678695834,9.262266149,12.862443315,19.702832379,19.079812207,17.827751196,17.439036238,16.935325339,11.307314137,5443.2449894,5273.9296617,5354.2330944,5407.5376429,5481.8691431,5410.5608737,5562.2103298,11.956140351,11.949594438,13.695698695,14.796242673,15.640239654,15.121779033,16.291054006,15.552631579,14.875434531,17.226621014,18.871389222,22.425804654,23.692199082,25.319499794,20.236842105,20.582271147,23.461017191,26.350730984,27.044726209,29.163430992,32.506527415,24.526315789,18.105446118,13.981025751,14.202980436,14.727602062,15.481821391,14.456506802,27.728070175,34.487253766,31.635637349,25.778656685,20.161627421,16.540769502,11.426411983
1010008,101,1,21.420461713,21.978253985,23.391258557,25.448648649,27.564921243,27.816584047,29.282432728,34.130094044,31.55216285,30.31722661,27.60989011,25.182439476,23.30482958,21.516007533,48.013620885,47.862345614,48.751974724,43.167567568,37.847037549,36.092342342,36.654998906,9.6409312114,11.07027027,7.1162642272,4.9211711712,5.8849267119,4.746785204,3.5803393214,3.8856856355,4.4134288948,5.1381422678,4.2967741935,4.798105683,63.566452547,61.257706535,58.086169216,61.516469857,63.586550436,64.455569462,65.556106019,67.199692977,66.806411837,60.279403436,59.704069051,7.5408544989,9.1058649338,10.399594492,11.622807018,12.793971514,12.629152079,15.824175824,15.207952468,16.842592593,17.844717085,18.95149986,20.616883117,4.6673567329,5.3286107832,6.3046589283,7.5575376284,10.894972155,13.18911938,17.603312121,11.599576271,12.322274882,11.740540541,10.222316775,9.9211711712,10.019689346,5207.4965517,4980.5154271,4930.5962826,4922.769708,4997.787212,4856.8902643,5121.1834648,12.21417145,11.483667847,12.800127206,13.992195588,14.330535728,13.62498991,14.988882926,21.473604968,23.345139709,22.443949754,22.871705025,23.852851204,25.724432965,26.044621636,23.826103322,25.619834711,29.313086341,32.085689257,33.116322849,32.601501332,31.756497738,21.915874659,16.576151122,13.595166163,14.071832444,15.318848537,16.603438534,17.204630836,20.570245601,22.975206612,21.847670536,16.978577686,13.381441682,11.445637259,10.005366863
1010009,101,1,15.916606758,16.17080854,16.577165538,17.204925651,17.265526346,17.762318841,17.749943579,19.863720834,18.831562974,18.073458073,16.423076923,14.433365759,11.344537815,9.5887218921,34.330074756,32.544033594,32.36049498,28.74070632,26.862587533,25.750724638,26.89009253,6.8443279452,7.876394052,6.222018138,3.9072463768,3.5770706387,4.5966850829,5.2873563218,5.9911894273,6.7314614831,7.1570576541,6.8503213958,6.8613400215,37.063119457,34.873349982,38.182213525,37.488994541,38.414205345,37.699910153,35.259072035,34.824046921,34.998216197,19.563437926,20.709953621,5.6396752249,6.6178440654,6.8820098699,6.2291337199,5.2908704883,5.5262937881,5.6283978254,11.126599924,11.745346087,13.150657024,13.943464314,14.403846154,4.2290108063,4.0812870449,5.1702605945,5.4093448862,6.6635160681,8.4736556219,9.9551569507,8.0902372618,7.5531169741,7.5975836431,7.9439788773,9.7391304348,11.193861431,2746.7758851,2696.5618998,2742.7350518,2820.1184938,2898.9787267,2942.6856352,3055.4217457,16.967996675,17.33276884,18.20830905,21.264879747,22.676433522,22.588655234,22.272047833,18.121363259,16.104995766,16.792939805,13.571949146,12.775677379,13.307984791,14.32735426,29.000415628,32.726502964,34.651569395,36.35921937,34.404536862,32.094358656,29.559043348,18.339567747,15.986452159,14.91133128,16.406186736,18.557025835,21.370373244,22.840059791,17.570656692,17.849280271,15.43585047,12.397765001,11.586326402,10.638628075,11.001494768
1010010,101,1,18.454598941,18.580942202,20.501253133,21.305460751,21.100373008,21.89154013,23.094978624,24.916512059,23.411858126,20.727026417,18.428239102,16.507288088,14.461566518,13.919802155,50.990390273,48.573542712,45.956558062,38.54619913,32.844798373,29.833535634,32.590669235,6.7388813665,7.849159628,5.4134191799,4.2829894226,5.0841779043,3.3885997822,3.3355318948,4.1726207488,4.31585983,4.9971335754,4.4368266405,5.7674243847,60.396176756,58.108234414,60.097875388,62.869753028,64.355589325,65.644347081,64.865637507,66.79676066,65.108888681,56.664899002,57.005327601,7.7517545935,9.526258276,11.211941869,14.101978194,13.461042312,14.492179766,15.641586013,12.504409171,13.598401028,13.815000353,14.913544669,17.791118084,4.5582742587,4.9035914495,5.570077172,6.3508750232,7.2364811315,9.4979053336,12.416186331,12.303231152,11.453634085,10.647555669,9.8271772281,9.8231316109,10.27724265,7836.2019377,7757.2955195,7678.3133107,7727.7835071,7838.2666339,7643.6310516,8125.9241302,10.031252382,10.546417791,11.694050286,13.369612269,13.595074072,13.212030263,13.780731679,19.993901974,24.068256022,26.107791884,25.830189846,27.574224227,27.368223598,27.908481355,21.434560561,23.680157703,26.132686084,30.171294292,30.037188319,30.638404302,30.119985884,16.822928577,12.474588801,11.569579288,12.367818935,14.978967262,16.957418871,16.815668745,31.717356506,29.230579683,24.495892457,18.261084658,13.81454612,11.823922966,11.375132337
1010011,101,1,21.334762798,21.240799159,22.050809732,23.245984784,22.771677395,23.464689817,24.979664276,22.644574399,21.635012386,20.461841151,18.532818533,16.724297883,15.952400766,15.128857779,50.147334583,47.484984985,45.291273313,39.5082597,34.94131011,33.010844972,35.310212231,7.469717362,9.0434114483,5.8689890193,4.3535928845,4.6809139984,3.7471783296,3.9387502213,4.4065069718,4.5495253448,5.1291184328,5.7781919851,6.2942071806,58.715716436,56.520195295,57.942794279,60.349237146,62.750690792,62.956677088,63.614586106,63.601036269,62.769640479,59.658499026,60.656901909,7.0683077809,8.4779109283,10.093982668,10.447314914,11.067494727,11.985108683,15.815098774,12.507176249,14.187777488,15.34292535,16.074494783,16.630815561,4.5904590459,4.9144811859,5.5709023941,6.4554455446,7.9229359836,10.69646098,17.022961203,12.635698056,12.502878195,11.432961967,10.776221128,10.798158695,11.432374473,4286.0243492,4164.1472423,4125.0944391,4197.8994868,4275.9267446,4187.0349727,4500.302681,9.8732950218,10.456100342,12.137430939,13.346534653,13.947032369,14.122050817,14.114542096,20.87516444,23.22690992,23.987108656,24.305516266,24.71822775,23.860027223,24.074953814,22.273765838,24.503990878,27.54373849,29.584158416,29.804008661,31.431488203,31.586170494,17.337118327,12.964652223,11.705801105,14.217821782,16.795291766,17.825544465,17.260490895,29.640656373,28.848346636,24.62592081,18.545968883,14.735439454,12.760889292,12.963842703
